Board ID,Board name,Board maker,Chip ID,U-Boot defconfig,Build tuple,Device tree
mele_i7,Mele I7,Mele,allwinner-a31,Mele_I7_defconfig,arm-linux-gnueabihf,sun6i-a31-i7
mele_m9,Mele M9,Mele,allwinner-a31,Mele_M9_defconfig,arm-linux-gnueabihf,sun6i-a31-m9
mele_a1000g,Mele A1000G,Mele,allwinner-a31,Mele_A1000G_quad_defconfig,arm-linux-gnueabihf,sun6i-a31-mele-a1000g-quad
loftq,LOFT-Q,Mixtile,allwinner-a31,mixtile_loftq_defconfig,arm-linux-gnueabihf,sun6i-a31-mixtile-loftq
e708_q1,E708 Q1,Colorfly,allwinner-a31s,colorfly_e708_q1_defconfig,arm-linux-gnueabihf,sun6i-a31s-colorfly-e708-q1
cs908,CS908,CSQ,allwinner-a31s,CSQ_CS908_defconfig,arm-linux-gnueabihf,sun6i-a31s-cs908
inet_q972,iNet Q972,iNet,allwinner-a31s,inet_q972_defconfig,arm-linux-gnueabihf,sun6i-a31s-inet-q972
msi_primo81,Primo81,MSI,allwinner-a31s,MSI_Primo81_defconfig,arm-linux-gnueabihf,sun6i-a31s-primo81
sina31s,SinA31s,Sinlinx,allwinner-a31s,Sinlinx_SinA31s_defconfig,arm-linux-gnueabihf,sun6i-a31s-sina31s
bananapi_m2,Banana Pi M2,Sinovoip,allwinner-a31s,Sinovoip_BPI_M2_defconfig,arm-linux-gnueabihf,sun6i-a31s-sinovoip-bpi-m2
bs1078_v2,BS1078 V2,Yones Toptech,allwinner-a31s,Yones_Toptech_BS1078_V2_defconfig,arm-linux-gnueabihf,sun6i-a31s-yones-toptech-bs1078-v2

ainol_aw1,AW1,Ainol,allwinner-a20,Ainol_AW1_defconfig,arm-linux-gnueabihf,sun7i-a20-ainol-aw1
bananapi_m1,Banana Pi M1,Sinovoip,allwinner-a20,Bananapi_defconfig,arm-linux-gnueabihf,sun7i-a20-bananapi
bananapi_m1plus,Banana Pi M1+,Sinovoip,allwinner-a20,bananapi_m1_plus_defconfig,arm-linux-gnueabihf,sun7i-a20-bananapi-m1-plus
